Seg;DateTime;gps_Lat;gps_Long;DayOfWeek;T;S;V;V_m;V_r;FuelR;FuelR_r;FuelRate_std;V_std;Acc;Dcc;Acc_std;Acc_2;Idle_p;Acc_p;Cru_p;Cre_p;Dcc_p;V_i;V_f;File
10.0;2017-09-18 13:48:02;45.44223158;-73.65536433;0;15.0;96.60896487222222;23.186151569333333;24.24448477;23.186151569333333;1.0;1.0;0.0;0.9502138757323513;0.06489268981481475;-0.08717290617283945;0.0830115043574281;0.00712566276829701;0.0;0.0;0.7333333333333333;0.0;0.26666666666666666;23.09509788;21.42008261;246245
11.0;2017-09-18 13:48:17;45.44192068;-73.65093108;0;18.0;103.99924594166666;20.799849188333333;21.67314942;20.799849188333333;1.0;1.0;0.0;0.9232099819934436;0.02312587611111125;-0.06394127200854709;0.05349615112448854;0.004283382980658498;0.0;0.0;0.7222222222222222;0.16666666666666666;0.1111111111111111;21.32943173;18.84389685;246245
12.0;2017-09-18 13:48:35;45.44316191;-73.64656145;0;18.0;96.71258202222222;19.342516404444446;19.76015815;19.342516404444446;1.0;1.0;0.0;0.3597215669312148;0.02905370555555553;-0.015734126388888825;0.024803160276123466;0.0006647051110982136;0.0;0.0;0.0;1.0;0.0;18.71450514;19.43668741;246245
13.0;2017-09-18 13:48:53;45.4449663;-73.64291474;0;19.0;99.9611286111111;18.940003315789475;19.37982113;18.940003315789475;1.0;1.0;0.0;0.23712509906632812;0.0011863944444446951;-0.011476444598765461;0.006162823990988202;0.000152837085471839;0.0;0.0;0.0;1.0;0.0;19.37982113;18.69728482;246245
14.0;2017-09-18 13:49:12;45.44692994;-73.63925006;0;19.0;100.92891088611111;19.12337258894737;19.82934638;19.12337258894737;1.0;1.0;0.0;0.35712626632019423;0.016550607602339184;0.0;0.008852569346276278;0.00034816596529878383;0.0;0.0;0.0;1.0;0.0;18.70734086;19.82934638;246245
15.0;2017-09-18 13:49:31;45.44899393;-73.63564008;0;9.0;51.241019663888885;20.496407865555554;20.97419316;20.496407865555554;1.0;1.0;0.0;0.3727573821344065;0.03533477716049377;0.0;0.008956850576037248;0.001319857741196382;0.0;0.0;0.8888888888888888;0.1111111111111111;0.0;19.94951145;20.97419316;246245
16.0;2017-09-18 13:29:00;45.59245047;-73.6391019;0;34.0;99.50865573277778;10.536210607000001;12.14966898;10.536210607000001;1.0;1.0;0.0;0.6942483580430274;0.2730649433333333;-0.017238208620689654;0.13398851211150498;0.018072771447143306;0.0;0.11764705882352941;0.0;0.7941176470588235;0.08823529411764706;7.624876427;10.35;281440
17.0;2017-09-18 13:29:34;45.59076879;-73.6375076;0;35.0;98.875;10.17;10.34;10.17;1.0;1.0;0.0;0.10246950765959395;0.0;-0.002777777777777775;1.5930046587003128e-16;7.716049382716033e-06;0.0;0.0;0.0;1.0;0.0;10.34;10.0;281440
18.0;2017-09-18 13:30:09;45.59067622;-73.63733406;0;35.0;98.7636072625;10.158542461285714;12.08360268;10.158542461285714;1.0;1.0;0.0;0.6067556890242451;0.06713874340277777;-0.009864626026570043;0.050173696253082524;0.002718930885440554;0.0;0.05714285714285714;0.0;0.9142857142857143;0.02857142857142857;9.99;12.08360268;281440
19.0;2017-09-18 13:30:44;45.58887973;-73.63532151;0;82.0;101.80081649861111;4.469304138963415;12.48841047;4.469304138963415;1.0;1.0;0.0;3.3240831018704737;0.033249924601851846;-0.059172245416666665;0.05388491073832278;0.0035112659335406883;0.0;0.0;0.0;0.9024390243902439;0.0975609756097561;12.37070201;4.597550195;281440
20.0;2017-09-18 13:32:06;45.58620822;-73.63257497;0;44.0;99.45252339527778;8.137024641431818;13.23906873;8.137024641431818;1.0;1.0;0.0;2.72193124445379;0.10377451064814813;-0.2204052488131313;0.16008823946938852;0.025562417704006964;0.0;0.36363636363636365;0.0;0.45454545454545453;0.18181818181818182;4.834226043;8.197914207;281440
21.0;2017-09-18 13:32:50;45.58363855;-73.629804;0;43.0;101.479136915;8.49592774172093;11.39202572;8.49592774172093;1.0;1.0;0.0;2.8115194847759692;0.15644091200231483;-0.1707999735964912;0.20848849161023064;0.042596910311951945;0.0;0.3953488372093023;0.0;0.4186046511627907;0.18604651162790697;8.821760861;10.03169081;281440
22.0;2017-09-18 13:33:33;45.58173598;-73.6260102;0;27.0;97.42574386666666;12.990099182222222;14.38035855;12.990099182222222;1.0;1.0;0.0;1.0603567271239884;0.1055229551282051;-0.053806453373015865;0.09811127915416046;0.009794074137514876;0.0;0.2222222222222222;0.0;0.7037037037037037;0.07407407407407407;10.83536564;12.25831986;281440
23.0;2017-09-18 13:34:00;45.58001647;-73.62205208;0;28.0;100.4910765111111;12.920281265714285;13.72833329;12.920281265714285;1.0;1.0;0.0;0.7383312170890329;0.025521066493055553;-0.06262366759259261;0.0492224887199615;0.0024865140237279393;0.0;0.0;0.0;1.0;0.0;12.38767344;11.02299085;281440
