;DateTime;Speed;FuelRate;gps_Lat;gps_Long;Duration;DeltaDistance;Acc;DayOfWeek;Seg;Acc2;cumulative_time
954;2018-11-10 04:03:07;41.46875;30.89999962;45.54342651;-73.64718628;1.0;11.519097222222221;0.2517361111111111;5;2.0;0.06337106963734568;1.0
956;2018-11-10 04:03:08;42.15625;38.70000076;45.54338837;-73.64705658;1.0;11.710069444444445;0.1909722222222222;5;2.0;0.036470389660493825;2.0
958;2018-11-10 04:03:09;42.8125;30.5;45.54334259;-73.64692688;1.0;11.89236111111111;0.18229166666666666;5;2.0;0.033230251736111105;3.0
960;2018-11-10 04:03:10;43.328125;27.60000038;45.54330444;-73.64678955;1.0;12.035590277777777;0.14322916666666666;5;2.0;0.020514594184027776;4.0
962;2018-11-10 04:03:11;43.78125;29.64999962;45.54325485;-73.64664459;1.0;12.161458333333332;0.12586805555555555;5;2.0;0.01584276740933642;5.0
964;2018-11-10 04:03:12;44.0;20.60000038;45.54321289;-73.64650726;1.0;12.222222222222221;0.06076388888888889;5;2.0;0.0036922501929012343;6.0
966;2018-11-10 04:03:13;44.109375;18.95000076;45.54316711;-73.64636993;1.0;12.252604166666666;0.030381944444444444;5;2.0;0.0009230625482253086;7.0
968;2018-11-10 04:03:14;43.96875;17.20000076;45.54312134;-73.64622498;1.0;12.213541666666666;-0.0390625;5;2.0;0.00152587890625;8.0
970;2018-11-10 04:03:15;44.015625;21.39999962;45.54308319;-73.64607239;1.0;12.2265625;0.013020833333333332;5;2.0;0.0001695421006944444;9.0
972;2018-11-10 04:03:16;43.875;18.25;45.54303741;-73.64592743;1.0;12.1875;-0.0390625;5;2.0;0.00152587890625;10.0
974;2018-11-10 04:03:17;43.890625;18.79999924;45.54299164;-73.6457901;1.0;12.191840277777777;0.004340277777777778;5;2.0;1.8838011188271607e-05;11.0
976;2018-11-10 04:03:18;43.90625;20.54999924;45.54294968;-73.64564514;1.0;12.196180555555555;0.004340277777777778;5;2.0;1.8838011188271607e-05;12.0
978;2018-11-10 04:03:19;44.03125;20.20000076;45.5429039;-73.64550781;1.0;12.230902777777777;0.034722222222222224;5;2.0;0.0012056327160493829;13.0
980;2018-11-10 04:03:20;44.015625;20.85000038;45.54286194;-73.64536285;1.0;12.2265625;-0.004340277777777778;5;2.0;1.8838011188271607e-05;14.0
982;2018-11-10 04:03:21;44.078125;25.35000038;45.54281998;-73.6452179;1.0;12.24392361111111;0.017361111111111112;5;2.0;0.0003014081790123457;15.0
984;2018-11-10 04:03:22;44.171875;20.95000076;45.5427742;-73.64508057;1.0;12.269965277777777;0.026041666666666664;5;2.0;0.0006781684027777776;16.0
986;2018-11-10 04:03:23;44.421875;20.95000076;45.54272842;-73.64492798;1.0;12.339409722222221;0.06944444444444445;5;2.0;0.0048225308641975315;17.0
988;2018-11-10 04:03:24;44.296875;15.75;45.54268646;-73.64479065;1.0;12.3046875;-0.034722222222222224;5;2.0;0.0012056327160493829;18.0
990;2018-11-10 04:03:25;44.15625;21.85000038;45.5426445;-73.64464569;1.0;12.265625;-0.0390625;5;2.0;0.00152587890625;19.0
992;2018-11-10 04:03:26;44.015625;26.39999962;45.54259872;-73.64450073;1.0;12.2265625;-0.0390625;5;2.0;0.00152587890625;20.0
994;2018-11-10 04:03:27;43.859375;23.64999962;45.54255676;-73.64434814;1.0;12.183159722222221;-0.043402777777777776;5;2.0;0.0018838011188271604;21.0
48012;2018-11-12 07:44:04;11.0625;42.90000153;45.5678215;-73.61888123;1.0;3.0729166666666665;1.1067708333333333;0;1266.0;1.224941677517361;22.0
48014;2018-11-12 07:44:05;15.078125;59.45000076;45.5678215;-73.6188736;1.0;4.188368055555555;1.1154513888888888;0;1266.0;1.244231800974151;23.0
48016;2018-11-12 07:44:06;17.828125;44.40000153;45.56781006;-73.61885071;1.0;4.952256944444445;0.7638888888888888;0;1266.0;0.5835262345679012;24.0
48018;2018-11-12 07:44:07;21.0625;50.84999847;45.5677948;-73.61881256;1.0;5.850694444444445;0.8984375;0;1266.0;0.80718994140625;25.0
48020;2018-11-12 07:44:08;24.4375;57.04999924;45.56777573;-73.61877441;1.0;6.788194444444445;0.9375;0;1266.0;0.87890625;26.0
48022;2018-11-12 07:44:09;27.53125;47.45000076;45.56775284;-73.61871338;1.0;7.647569444444445;0.859375;0;1266.0;0.738525390625;27.0
48024;2018-11-12 07:44:10;30.578125;58.65000153;45.56772614;-73.61865234;1.0;8.49392361111111;0.8463541666666666;0;1266.0;0.7163153754340277;28.0
