;DateTime;Speed;FuelRate;gps_Lat;gps_Long;Duration;DeltaDistance;Acc;DayOfWeek;Seg;Acc2;cumulative_time
954;2018-11-10 04:03:07;41.46875;30.89999962;45.54342651;-73.64718628;1.0;11.519097222222221;0.2517361111111111;5;5.0;0.06337106963734568;1.0
956;2018-11-10 04:03:08;42.15625;38.70000076;45.54338837;-73.64705658;1.0;11.710069444444445;0.1909722222222222;5;5.0;0.036470389660493825;2.0
958;2018-11-10 04:03:09;42.8125;30.5;45.54334259;-73.64692688;1.0;11.89236111111111;0.18229166666666666;5;5.0;0.033230251736111105;3.0
960;2018-11-10 04:03:10;43.328125;27.60000038;45.54330444;-73.64678955;1.0;12.035590277777777;0.14322916666666666;5;5.0;0.020514594184027776;4.0
962;2018-11-10 04:03:11;43.78125;29.64999962;45.54325485;-73.64664459;1.0;12.161458333333332;0.12586805555555555;5;5.0;0.01584276740933642;5.0
964;2018-11-10 04:03:12;44.0;20.60000038;45.54321289;-73.64650726;1.0;12.222222222222221;0.06076388888888889;5;5.0;0.0036922501929012343;6.0
966;2018-11-10 04:03:13;44.109375;18.95000076;45.54316711;-73.64636993;1.0;12.252604166666666;0.030381944444444444;5;5.0;0.0009230625482253086;7.0
968;2018-11-10 04:03:14;43.96875;17.20000076;45.54312134;-73.64622498;1.0;12.213541666666666;-0.0390625;5;5.0;0.00152587890625;8.0
24183;2018-11-11 18:58:59;46.15625;8.350000381;45.56892395;-73.65929413;1.0;12.821180555555555;0.017361111111111112;6;2718.0;0.0003014081790123457;9.0
24185;2018-11-11 18:59:00;46.109375;8.649999619;45.56882095;-73.65934753;1.0;12.808159722222221;-0.013020833333333332;6;2718.0;0.0001695421006944444;10.0
24187;2018-11-11 18:59:01;46.125;7.800000191;45.56871033;-73.65940094;1.0;12.8125;0.004340277777777778;6;2718.0;1.8838011188271607e-05;11.0
24189;2018-11-11 18:59:02;45.921875;8.800000191;45.56860352;-73.65945435;1.0;12.75607638888889;-0.05642361111111111;6;2718.0;0.0031836238908179012;12.0
24191;2018-11-11 18:59:03;45.890625;10.05000019;45.56849289;-73.65950775;1.0;12.747395833333332;-0.008680555555555556;6;2718.0;7.535204475308643e-05;13.0
24193;2018-11-11 18:59:04;45.71875;3.0;45.56838226;-73.65956116;1.0;12.699652777777777;-0.04774305555555555;6;2718.0;0.002279399353780864;14.0
24195;2018-11-11 18:59:05;45.078125;2.5;45.56827164;-73.65960693;1.0;12.52170138888889;-0.1779513888888889;6;2718.0;0.03166669680748457;15.0
24197;2018-11-11 18:59:06;44.328125;11.0;45.56816483;-73.65966797;1.0;12.313368055555555;-0.20833333333333331;6;2718.0;0.04340277777777777;16.0
9681;2018-11-10 05:44:32;46.078125;18.20000076;45.54126358;-73.70716095;1.0;12.799479166666666;0.2170138888888889;5;320.0;0.047095027970679014;17.0
9683;2018-11-10 05:44:33;46.328125;14.89999962;45.54133224;-73.70703125;1.0;12.86892361111111;0.06944444444444445;5;320.0;0.0048225308641975315;18.0
9685;2018-11-10 05:44:34;46.46875;19.85000038;45.54140091;-73.70690155;1.0;12.90798611111111;0.0390625;5;320.0;0.00152587890625;19.0
9687;2018-11-10 05:44:35;47.296875;16.89999962;45.54146957;-73.70677948;1.0;13.138020833333332;0.2300347222222222;5;320.0;0.05291597342785493;20.0
9689;2018-11-10 05:44:36;47.78125;21.79999924;45.54146957;-73.70677948;1.0;13.272569444444445;0.1345486111111111;5;320.0;0.01810332875192901;21.0
9691;2018-11-10 05:44:37;47.796875;8.600000381;45.54159546;-73.70650482;1.0;13.276909722222221;0.004340277777777778;5;320.0;1.8838011188271607e-05;22.0
